,content,query,tweetDate,twitterProfile
5733,"⚫🔵 #InterMilan 🔴⚫

Zlatan #Ibrahimovic è l'unico giocatore ad essersi laureato capocannoniere della #SerieA sia con la maglia dell'#Inter (2009) che con quella del #Milan (2012)

#DerbyMilano #DerbydellaMadonnina https://t.co/h6cp8PUuZc",#ibrahimovic,2020-02-09 19:30:14+00:00,https://twitter.com/bwinItalia
5592,#Inter #milan  #serieta #derby #hakancalhanoglu  #ibrahimovic  #lukaku https://t.co/1uF60LKV9D,#ibrahimovic,2020-02-09 19:30:25+00:00,https://twitter.com/DUNDARKESAPLI
5316,Hoohooo #Ibrahimovic https://t.co/6ZNcPzbxIp,#ibrahimovic,2020-02-09 19:32:40+00:00,https://twitter.com/ShadyMuhamed
5566,Solite merde. Saprebbero insultare pure Mourinho. Senza dignità come il loro AD. #InterMilan #Ibrahimovic #Derby https://t.co/eTeYaW5UA5,#ibrahimovic,2020-02-09 19:35:02+00:00,https://twitter.com/berthayoko
5475,"⚫🔵 #InterMilan 🔴⚫

Stasera chi ha più chance di segnare nel #DerbyDellaMadonnina?

#Lukaku 🔃 o ❤ #Ibrahimovic?

#SerieA #Inter #Milan https://t.co/gQWj2umYcY",#ibrahimovic,2020-02-09 19:35:03+00:00,https://twitter.com/bwinItalia
6006,"#Maldini a @SkySport: “#Ibrahimovic è un campione, si allena e pensa da professionista. In una squadra come la nostra fatta di giovani può aiutarci molto” 
#MilanPress #InterMilan",#ibrahimovic,2020-02-09 19:35:26+00:00,https://twitter.com/MilanPress_it
13394,"#InterMilan, #Rebic a @SkySport: ""@Ibra_official mai stato in dubbio per il #derby"" - #DerbyMilano @acmilan #ACMilan #Milan #weareacmilan #SempreMilan #Ibrahimovic https://t.co/19irBcLi46",#rebic,2020-02-09 19:38:09+00:00,https://twitter.com/PianetaMilan
5746,"El #DerbyMilano me encanta pero no lo veo hace 7 años jaja

Apunto a que #Ibrahimovic irá prendido pero con intermitencia al final de cada tiempo.",#ibrahimovic,2020-02-09 19:43:22+00:00,https://twitter.com/unestatequieto
5454,"🗣️A pochi minuti da #InterMilan le parole di #Maldini su #Ibrahimovic e non solo 

https://t.co/vis3NdKPHW",#ibrahimovic,2020-02-09 19:45:02+00:00,https://twitter.com/calciomercatoit
5197,"#SerieATIM #DerbyDellaMadoninna #InterMilan #ACMilan 
Rossonero de mic! My Name is #Zlatan #Ibrahimovic! https://t.co/h7FjF7iB3d",#ibrahimovic,2020-02-09 19:46:03+00:00,https://twitter.com/vladdobroteanu
5599,Dopo 4-4-1-#Ibrahimovic @leleadani ha detto tutto #InterMilan,#ibrahimovic,2020-02-09 19:48:55+00:00,https://twitter.com/picchisandro
5568,"Clásico de hoy:
inter vs Milán 
¿Quién ganara?
RT #Inter 
FAV #Milán 
Comenta el resultado y arriesga quien hace los Goles.
#InterMilan #futbol #Ibrahimovic",#ibrahimovic,2020-02-09 19:50:09+00:00,https://twitter.com/oficialhattrick
5676,"2' Subito girata al volo di #Ibrahimovic, palla alta. #InterMilan 0-0",#ibrahimovic,2020-02-09 19:50:18+00:00,https://twitter.com/FcInterNewsit
5478,"Vamos, vamos @acmilan vamos #Ibrahimovic #DerbyMilano 
💪💪💪💪",#ibrahimovic,2020-02-09 19:50:41+00:00,https://twitter.com/DanieleVelez17
15505,"È subito Ibra. Occhio cugino
#izBack

#InterMilan
#SempreMilan
#weareacmilan",#izback,2020-02-09 19:52:58+00:00,https://twitter.com/Jdieghito
5704,#Lukaku vs #Ibrahimovic #milaninter #MilanoDerby,#ibrahimovic,2020-02-09 19:54:16+00:00,https://twitter.com/Fabricio2370
5698,"Paolo #Maldini 🇮🇹 a #SKYSport: ""#Ibrahimovic? E' un campione, vive la sua professione da campione, si allena da professionista e pensa da professionista. In una squadra come la nostra può accelerare il processo di maturazione dei nostri giocatori.""

🔴⚫🔴⚫🔴⚫

#InterMilan ⚽️",#ibrahimovic,2020-02-09 19:54:37+00:00,https://twitter.com/andreafabris96
13330,"#InterMilan 0-0
7' - Ci prova #Rebic, respinto il suo tiro

#DerbyMilano",#rebic,2020-02-09 19:55:50+00:00,https://twitter.com/PianetaMilan
13302,Mamma #rebic la giraaaaaaaa ma viene deviata all'ultimo!!! Era gol! Porco due!!! #InterMilan #DerbyMilano,#rebic,2020-02-09 19:55:57+00:00,https://twitter.com/ErnyMilan7
5728,"Extrañando la #NFL 🏈, pero bueno, veamos si #Ibrahimovic y el #Milan pueden derrotar al #Inter y pueden ponerle presión a la #Juventus...⚽ https://t.co/LKgRNsk0UN",#ibrahimovic,2020-02-09 19:57:53+00:00,https://twitter.com/RubenebuR
5181,"We're live from the #SanSiro as #Inter host #ACMilan in the #SerieATIM

#Lukaku #Ibrahimovic #InterMilan #SerieA #football #footballlive #soccer https://t.co/98LjeAgwcg",#ibrahimovic,2020-02-09 19:59:57+00:00,https://twitter.com/S_R_DOfficial
5305,#SerieAxESPN dos de #Ibrahimovic #ACMilan,#ibrahimovic,2020-02-09 20:01:00+00:00,https://twitter.com/JuanJaime1000
5365,"What a start to the Inter 🆚 AC Milan game. Very attacking minded 😊.
#Lukaku 🆚 #Ibrahimovic
#InterMilan  #DerbyMilano",#ibrahimovic,2020-02-09 20:03:03+00:00,https://twitter.com/sereno_chapin
13366,"#InterMilan 0-0
16' - Doppio tiro di #Rebic, primo respinto, secondo alto.

#DerbyMilano",#rebic,2020-02-09 20:04:57+00:00,https://twitter.com/PianetaMilan
13292,"16’ - Il #Milan continua a spingere, #Rebic ribattuto

🏟️#InterMilan 0-0 #derby #DerbyMilano #DerbyDellaMadonnina 

🇮🇹#SerieATIM LIVE",#rebic,2020-02-09 20:05:01+00:00,https://twitter.com/calciomercatoit
13355,"Good shot of #Rebic, #InterMilan ,#DerbyDellaMadonnina .",#rebic,2020-02-09 20:05:08+00:00,https://twitter.com/MJAVA_UNIQUE
17,#donnarumma meilleur gardien au monde,#donnarumma,2020-02-09 20:13:54+00:00,https://twitter.com/LG_lamine
18,"Great #donnarumma in the save, #DerbyDellaMadonnina ,#SerieAxESPN .",#donnarumma,2020-02-09 20:14:19+00:00,https://twitter.com/MJAVA_UNIQUE
5705,"🗣 #InterMilan, @EnzoBucchioni: ""@Ibra_official? E' diventato l'elemento determinante nel @acmilan. La squadra era carente nel carisma, nell'autostima. #Ibrahimovic, che è un campione, ha portato tutto questo, è un esempio e un faro per i compagni di squadra. E' il carburante""",#ibrahimovic,2020-02-09 20:16:35+00:00,https://twitter.com/RadioSportiva
1,"#AnyGivenSunday #SerieA #InterMilan 0-0 25' A metà del primo tempo ancora niente gol, ma quante emozioni. #Milan arrembante, che colpisce un palo con #Calhanoglu, #Inter a un passo dal gol con #Vecino, strepitosa risposta di #Donnarumma.",#donnarumma,2020-02-09 20:16:40+00:00,https://twitter.com/SSportNetwork
13328,Esa dupla #Rebic y @TheoHernandez ganan todas canso,#rebic,2020-02-09 20:18:06+00:00,https://twitter.com/Andres_ACMILAN
