,content,query,tweetDate,twitterProfile
3875,#Inter #milan  #serieta #derby #hakancalhanoglu  #ibrahimovic  #lukaku https://t.co/1uF60LKV9D,#lukaku,2020-02-09 19:30:25+00:00,https://twitter.com/DUNDARKESAPLI
4039,"⚫🔵 #InterMilan 🔴⚫

Stasera chi ha più chance di segnare nel #DerbyDellaMadonnina?

#Lukaku 🔃 o ❤ #Ibrahimovic?

#SerieA #Inter #Milan https://t.co/gQWj2umYcY",#lukaku,2020-02-09 19:35:03+00:00,https://twitter.com/bwinItalia
3736,Manchester United Ex Derby #DerbyMilano #Young #lukaku #sanchez #Ibra 🤣🤣,#lukaku,2020-02-09 19:36:01+00:00,https://twitter.com/AR__alfadhli
4837,"©️ | EPIC

Stasera in campo con la fascia da capitano... Marcelo #Brozovic! 🇭🇷 ⚫️🔵

#DerbyMilano #InterMilan #FORZAINTER https://t.co/pHpz7uATSg",#brozovic,2020-02-09 19:38:56+00:00,https://twitter.com/Inter
3999,"لوكاكو حيكون نجم المباراة اليوم ... 

#InterMilan #Lukaku",#lukaku,2020-02-09 19:40:11+00:00,https://twitter.com/abugrasa
4844,"©️ | EPIC BROZO

Presenting you with our skipper for tonight... Marcelo #Brozovic! 🇭🇷🙌

#InterMilan #DerbyMilano 
#FORZAINTER ⚫️🔵 https://t.co/qPBYZkeGfr",#brozovic,2020-02-09 19:41:22+00:00,https://twitter.com/Inter_en
4982,"©️ | EPIC BROZO

Kapten kita untuk #DerbyMilano kali ini: Marcelo #Brozovic! 🇭🇷👏 

#DerbyMilano #InterMilan #FORZAINTER ⚫️🔵 https://t.co/8zF71nnjb6",#brozovic,2020-02-09 19:42:00+00:00,https://twitter.com/Inter_id
5016,"©️ | EPIC BROZO

¡Les presentamos a neustro capitán de esta noche... Marcelo #Brozovic! 🇭🇷🙌

#InterMilan #DerbyMilano 
#FORZAINTER ⚫️🔵 https://t.co/tdtMQUBu2o",#brozovic,2020-02-09 19:42:49+00:00,https://twitter.com/Inter_es
3706,"#Sanchez, #Lukaku and #Young starting for #InterMilan today for the biggest derby in Italy! #Zlatan starting for #ACMilan too. 4 ex Man Utd players on the field. This shouldn't be interesting.",#lukaku,2020-02-09 19:43:12+00:00,https://twitter.com/SensibleUtd
50,"#Padelli che iperventila nel tunnel
#DerbyMilano #DerbyDellaMadoninna https://t.co/vyYlgYuqI2",#padelli,2020-02-09 19:43:35+00:00,https://twitter.com/peakespepe
199,#Padelli ha più ansia di tutti noi messi insieme. Cuore nerazzurro. #InterMilan #DerbyDellaMadoninna #DerbyMilano,#padelli,2020-02-09 19:43:56+00:00,https://twitter.com/AntoniOrlando
67,"Ho la stessa espressione di #Padelli sotto al tunnel. 
Io sto sul divano però. 

#InterMilan #Derby",#padelli,2020-02-09 19:44:28+00:00,https://twitter.com/AntonioNovelli_
