;ora_tweet;tweet_al_Minuto;Azione;Orario;Minuto partita;tempo
0;09/02/2020 20:31;1;;;;Prepartita
1;09/02/2020 20:32;32;;;;Prepartita
2;09/02/2020 20:33;38;;;;Prepartita
3;09/02/2020 20:34;41;;;;Prepartita
4;09/02/2020 20:35;44;;;;Prepartita
5;09/02/2020 20:36;49;;;;Prepartita
6;09/02/2020 20:37;55;;;;Prepartita
7;09/02/2020 20:38;44;;;;Prepartita
8;09/02/2020 20:39;77;;;;Prepartita
9;09/02/2020 20:40;75;;;;Prepartita
10;09/02/2020 20:41;69;;;;Prepartita
11;09/02/2020 20:42;73;;;;Prepartita
12;09/02/2020 20:43;79;;;;Prepartita
13;09/02/2020 20:44;85;;;;Prepartita
14;09/02/2020 20:45;81;;;;Prepartita
15;09/02/2020 20:46;62;;;;Prepartita
16;09/02/2020 20:47;58;;;;Prepartita
17;09/02/2020 20:48;108;Inizio partita;20:48;1;1
18;09/02/2020 20:49;102;;;1;1
19;09/02/2020 20:50;77;Tiro alto di Ibrahimovic;20:50;2;1
20;09/02/2020 20:51;55;;;3;1
21;09/02/2020 20:52;42;;;4;1
22;09/02/2020 20:53;44;;;5;1
23;09/02/2020 20:54;45;;;6;1
24;09/02/2020 20:55;49;;;7;1
25;09/02/2020 20:56;56;;;8;1
26;09/02/2020 20:57;76;Palo di Calhanoglu ;20:57;9;1
27;09/02/2020 20:58;91;;;10;1
28;09/02/2020 20:59;58;;;11;1
29;09/02/2020 21:00;50;;;12;1
30;09/02/2020 21:01;38;;;13;1
31;09/02/2020 21:02;49;;;14;1
32;09/02/2020 21:03;27;;;15;1
33;09/02/2020 21:04;43;;;16;1
34;09/02/2020 21:05;47;;;17;1
35;09/02/2020 21:06;43;;;18;1
36;09/02/2020 21:07;56;Tiro di testa di Godin, fuori di poco;21:07;19;1
37;09/02/2020 21:08;54;;;20;1
38;09/02/2020 21:09;38;;;21;1
39;09/02/2020 21:10;38;;;22;1
40;09/02/2020 21:11;39;;;23;1
41;09/02/2020 21:12;52;Tiro di Vecino, parata di Donnarumma;21:12;24;1
42;09/02/2020 21:13;74;;;25;1
43;09/02/2020 21:14;50;;;26;1
44;09/02/2020 21:15;40;;;27;1
45;09/02/2020 21:16;41;;;28;1
46;09/02/2020 21:17;43;;;29;1
47;09/02/2020 21:18;33;;;30;1
48;09/02/2020 21:19;32;;;31;1
49;09/02/2020 21:20;41;;;32;1
50;09/02/2020 21:21;50;;;33;1
51;09/02/2020 21:22;53;;;34;1
52;09/02/2020 21:23;40;;;35;1
53;09/02/2020 21:24;36;;;36;1
54;09/02/2020 21:25;53;;;37;1
55;09/02/2020 21:26;54;;;38;1
56;09/02/2020 21:27;58;;;39;1
57;09/02/2020 21:28;100;Gol di Ante Rebic;21:28;40;1
58;09/02/2020 21:29;174;;;41;1
59;09/02/2020 21:30;171;;;42;1
60;09/02/2020 21:31;130;;;43;1
61;09/02/2020 21:32;92;;;44;1
62;09/02/2020 21:33;101;Cross di Theo Hernandez pericoloso, respinto in corner;21:33;45;1
63;09/02/2020 21:34;133;Gol di Zlatan Ibrahimovic;21:34;46;1
64;09/02/2020 21:35;290;Fine primo tempo;21:35;47;1
65;09/02/2020 21:36;374;;;;Intervallo
66;09/02/2020 21:37;392;;;;Intervallo
67;09/02/2020 21:38;309;;;;Intervallo
68;09/02/2020 21:39;298;;;;Intervallo
69;09/02/2020 21:40;263;;;;Intervallo
70;09/02/2020 21:41;199;;;;Intervallo
71;09/02/2020 21:42;207;;;;Intervallo
72;09/02/2020 21:43;187;;;;Intervallo
73;09/02/2020 21:44;184;;;;Intervallo
74;09/02/2020 21:45;192;;;;Intervallo
75;09/02/2020 21:46;147;;;;Intervallo
76;09/02/2020 21:47;147;;;;Intervallo
77;09/02/2020 21:48;132;;;;Intervallo
78;09/02/2020 21:49;119;;;;Intervallo
79;09/02/2020 21:50;110;;;;Intervallo
80;09/02/2020 21:51;115;;;;Intervallo
81;09/02/2020 21:52;100;Inizio secondo tempo;21:52;1;2
82;09/02/2020 21:53;99;;;1;2
83;09/02/2020 21:54;59;;;2;2
84;09/02/2020 21:55;80;;;3;2
85;09/02/2020 21:56;63;;;4;2
86;09/02/2020 21:57;63;Gol di Marcelo Brozovic;21:57;5;2
87;09/02/2020 21:58;70;;;6;2
88;09/02/2020 21:59;107;;;7;2
89;09/02/2020 22:00;200;Gol di Matias Vecino;22:00;8;2
90;09/02/2020 22:01;261;;;9;2
91;09/02/2020 22:02;274;;;10;2
92;09/02/2020 22:03;248;;;11;2
93;09/02/2020 22:04;192;;;12;2
94;09/02/2020 22:05;137;;;13;2
95;09/02/2020 22:06;114;;;14;2
96;09/02/2020 22:07;112;Tiro di Candreva, alto sopra la traversa;22:07;15;2
97;09/02/2020 22:08;95;;;16;2
98;09/02/2020 22:09;96;;;17;2
99;09/02/2020 22:10;73;;;18;2
100;09/02/2020 22:11;91;;;19;2
101;09/02/2020 22:12;58;;;20;2
102;09/02/2020 22:13;44;;;21;2
103;09/02/2020 22:14;61;Punizione di Ibrahimovic, tiro largo;22:14;22;2
104;09/02/2020 22:15;48;;;23;2
105;09/02/2020 22:16;53;;;24;2
106;09/02/2020 22:17;78;Gol di Stefan De Vrij;22:17;25;2
107;09/02/2020 22:18;205;;;26;2
108;09/02/2020 22:19;230;;;27;2
109;09/02/2020 22:20;361;;;28;2
110;09/02/2020 22:21;218;;;29;2
111;09/02/2020 22:22;166;;;30;2
112;09/02/2020 22:23;140;;;31;2
113;09/02/2020 22:24;95;;;32;2
114;09/02/2020 22:25;92;Tiro di Brozovic, parato da Donnarumma;22:25;33;2
115;09/02/2020 22:26;68;;;34;2
116;09/02/2020 22:27;82;;;35;2
117;09/02/2020 22:28;135;Traversa di Eriksen su punizione;22:28;36;2
118;09/02/2020 22:29;128;;;37;2
119;09/02/2020 22:30;107;;;38;2
120;09/02/2020 22:31;86;;;39;2
121;09/02/2020 22:32;52;;;40;2
122;09/02/2020 22:33;48;;;41;2
123;09/02/2020 22:34;46;;;42;2
124;09/02/2020 22:35;47;;;43;2
125;09/02/2020 22:36;61;Azione di Barella con tiro bloccato da Donnarumma;22:36;44;2
126;09/02/2020 22:37;86;Palo di Ibrahimovic;22:37;45;2
127;09/02/2020 22:38;75;;;46;2
128;09/02/2020 22:39;68;;;47;2
129;09/02/2020 22:40;123;Gol di Romelu Lukaku;22:40;48;2
130;09/02/2020 22:41;299;;;49;2
131;09/02/2020 22:42;395;Fine secondo tempo;22:42;50;2
132;09/02/2020 22:43;448;;;;Postpartita
133;09/02/2020 22:44;483;;;;Postpartita
134;09/02/2020 22:45;471;;;;Postpartita
135;09/02/2020 22:46;415;;;;Postpartita
136;09/02/2020 22:47;426;;;;Postpartita
137;09/02/2020 22:48;395;;;;Postpartita
138;09/02/2020 22:49;373;;;;Postpartita
139;09/02/2020 22:50;321;;;;Postpartita
140;09/02/2020 22:51;338;;;;Postpartita
141;09/02/2020 22:52;302;;;;Postpartita
142;09/02/2020 22:53;312;;;;Postpartita
143;09/02/2020 22:54;152;;;;Postpartita
